ID,Trial,Density
R1,4,65
N1,4,41.25
Z1,4,198.75
M1,4,130
C1,4,203.75
R2,4,20
N2,4,32.5
Z2,4,153.75
M2,4,135
C2,4,180
R3,4,78.75
N3,4,21.25
Z3,4,173.75
M3,4,151.25
C3,4,140
R1,5,31.25
N1,5,18.75
Z1,5,135
M1,5,221.25
C1,5,249.375
R2,5,73.75
N2,5,6.25
Z2,5,17.5
M2,5,150
C2,5,211.25
R3,5,10
N3,5,22.5
Z3,5,138.75
M3,5,183.75
C3,5,237.5
R1,6,108.75
N1,6,41.25
Z1,6,251.25
M1,6,178.75
C1,6,225
R2,6,106.25
N2,6,57.5
Z2,6,198.75
M2,6,202.5
C2,6,201.25
R3,6,118.75
N3,6,57.5
Z3,6,213.75
M3,6,195
C3,6,205
R1,1,0
N1,1,0
Z1,1,301.25
M1,1,197.5
C1,1,123.75
R2,1,0
N2,1,0
Z2,1,301.25
M2,1,335
C2,1,225
R3,1,0
N3,1,0
Z3,1,192.5
M3,1,335
C3,1,276.25
R1,2,10.20833333
N1,2,0
Z1,2,224.5833333
M1,2,216.6666667
C1,2,256.25
R2,2,164.3055556
N2,2,0
Z2,2,55.83333333
M2,2,244.1666667
C2,2,207.5
R3,2,18.95833333
N3,2,0
Z3,2,300
M3,2,204.1666667
C3,2,175
R1,3,7.5
N1,3,0
Z1,3,198.75
M1,3,80
C1,3,187.5
R2,3,16.25
N2,3,0
Z2,3,203.75
M2,3,230
C2,3,195
R3,3,1.666666667
N3,3,0
Z3,3,225
M3,3,216.25
C3,3,217.5
R1,7,16.25
N1,7,47.5
Z1,7,133.75
M1,7,28.75
C1,7,123.75
R2,7,101.25
N2,7,170
Z2,7,21.25
M2,7,37.5
C2,7,170
R3,7,18.75
N3,7,32.5
Z3,7,75
M3,7,25
C3,7,142.5
