ID,Trial,RFU
R2,1,0.75
R3,1,0.82
Z1,1,3.52
Z2,1,1.44
Z3,1,1.88
C1,1,24.1
C2,1,22.17
C3,1,20.56
N1,1,5.32
N2,1,4.84
N3,1,8.1
M1,1,8.89
M2,1,9.77
M3,1,7.31
R1,2,0.98
R3,2,1.82
Z1,2,0.85
Z3,2,1
C1,2,26.72
C2,2,20.97
C3,2,28.91
N1,2,8.6
N2,2,8.54
N3,2,13.55
M3,2,7.08
R1,3,0.95
R2,3,1.33
R3,3,0.96
Z1,3,1.02
Z2,3,1
Z3,3,0.94
C1,3,28.71
C2,3,24.84
C3,3,26.93
N1,3,14.36
N2,3,6.82
N3,3,5.51
M1,3,14.64
M2,3,7.6
M3,3,22.93
R1,4,6.44
R2,4,3.59
R3,4,5.43
Z1,4,5.75
Z3,4,4.74
C1,4,9.49
C2,4,11.17
C3,4,11.5
N1,4,10.1
N2,4,8.77
N3,4,9.56
M1,4,10.15
M2,4,10.79
M3,4,8.23
R2,5,3.71
R3,5,1.75
Z1,5,3.24
Z2,5,5.99
Z3,5,2.12
C1,5,22.05
C2,5,20.8
C3,5,16.03
N1,5,6.27
N2,5,5.71
N3,5,5.84
M1,5,9.11
M2,5,6.04
M3,5,5.7
R3,6,3.54
Z1,6,7.46
Z2,6,6.17
Z3,6,4.27
C1,6,14.49
C2,6,14.56
C3,6,14.52
N1,6,8.66
N2,6,9.18
N3,6,9.02
M1,6,8.95
M2,6,9.17
M3,6,12.8
R1,7,0.94
R2,7,0.73
R3,7,0.65
Z1,7,0.75
Z2,7,0.64
Z3,7,0.66
C1,7,25.17
C2,7,25.87
C3,7,26.87
N1,7,6.53
N2,7,7.79
N3,7,5.78
M1,7,5.68
M2,7,7.54
M3,7,5.91
