ID,Ratio,Trial
C1,2.476578902,4
C2,2.651978876,4
M1,2.797154848,4
M2,3.296728066,4
N1,3.108577864,4
N2,2.93630663,4
R3,2.289851048,4
Z2,2.823156756,4
C3,2.153429968,4
M3,2.282562594,4
N3,2.607286933,4
R1,2.3095782,4
R2,2.446300664,4
Z1,3.732707662,4
Z3,2.715543289,4
C1,1.827708819,5
C2,1.979144858,5
M1,2.592657431,5
M2,2.007295471,5
N1,2.423085694,5
N2,2.299725664,5
R3,3.883051752,5
Z2,2.260618087,5
C1,2.359693811,6
M1,2.183472575,6
N2,2.308455867,6
R3,2.468248788,6
Z2,1.739799511,6
C2,1.649629594,6
C3,1.76764098,6
M2,1.939575367,6
N1,1.689888759,6
N3,1.726979837,6
R1,2.220765118,6
R2,1.840374383,6
Z1,1.588794107,6
Z3,1.781208334,6
C1,4.437941919,1
M1,4.765886111,1
M2,4.297313229,1
Z1,3.154718385,1
Z3,2.613604361,1
C2,1.941980013,1
C3,2.409425996,1
M3,1.79669106,1
Z2,1.662463528,1
C1,2.369640053,2
M1,3.097230402,2
R1,3.485682387,2
R3,3.842407632,2
Z1,2.145121575,2
Z3,2.307828627,2
C2,2.020575967,2
C3,2.259777985,2
M2,2.210548589,2
M3,2.31464885,2
R2,3.476430359,2
Z1,2.239790501,2
Z2,1.777939111,2
C1,2.478347126,3
M1,2.608388081,3
R1,5.851363075,3
Z1,2.389097298,3
Z3,2.008664385,3
C2,3.978608413,3
C3,3.331908133,3
M2,3.476374289,3
M3,2.912298038,3
R2,11.19184563,3
Z2,2.87423474,3
C1,3.258725242,7
M1,3.12171488,7
Z1,3.253496338,7
Z3,3.344921882,7
C2,3.749782437,7
C3,2.964228358,7
M2,3.003772182,7
M3,2.754559293,7
Z2,2.921028376,7
