Density ,RFU,Trial 
0,0.53,1
1000,0.57,1
5000,1.39,1
10000,1.84,1
50000,8.86,1
100000,17.42,1
150000,25.46,1
250000,41.33,1
0,0.51,2
1000,0.7,2
5000,1.55,2
10000,2.37,2
50000,8.75,2
100000,16.1,2
150000,24.61,2
250000,39.36,2
0,0.53,3
1000,0.68,3
5000,1.32,3
10000,2.03,3
50000,8.38,3
100000,15.88,3
150000,23.29,3
250000,39.83,3
0,0.54,4
1000,0.72,4
5000,1.4,4
10000,2.37,4
50000,8.07,4
100000,16.97,4
150000,24.91,4
250000,43.22,4
0,0.62,5
1000,0.65,5
5000,1.26,5
10000,2.16,5
50000,8.6,5
100000,16.74,5
150000,26.52,5
250000,43.56,5
0,0.54,6
1000,0.72,6
5000,1.4,6
10000,2.37,6
50000,8.07,6
100000,16.97,6
150000,24.91,6
250000,43.22,6
0,0.53,7
1000,0.69,7
5000,1.29,7
10000,2.4,7
50000,8.57,7
100000,17.44,7
150000,25.73,7
250000,43.74,7
